appid,source,added_at
242760,mmg_top_paid,2026-09-07
243470,mmg_top_paid,2026-09-07
244210,charts_top100,2026-09-07
244450,mmg_top_paid,2026-09-07
244850,mmg_top_paid,2026-09-07
246420,mmg_top_paid,2026-09-07
246620,mmg_top_paid,2026-09-07
246900,mmg_top_paid,2026-09-07
246980,mmg_top_paid,2026-09-07
247080,mmg_top_paid,2026-09-07
247350,mmg_top_paid,2026-09-07
247870,mmg_top_paid,2026-09-07
248450,mmg_top_paid,2026-09-07
248800,mmg_top_paid,2026-09-07
249130,mmg_top_paid,2026-09-07
250320,mmg_top_paid,2026-09-07
250900,charts_top100,2026-09-07
251570,charts_top100,2026-09-07
252070,mmg_top_paid,2026-09-07
252390,mmg_top_paid,2026-09-07
252490,charts_top100,2026-09-07
252950,charts_top100,2026-09-07
253230,mmg_top_paid,2026-09-07
253370,mmg_top_paid,2026-09-07
254590,mmg_top_paid,2026-09-07
254700,mmg_top_paid,2026-09-07
255260,mmg_top_paid,2026-09-07
255370,mmg_top_paid,2026-09-07
255710,mmg_top_paid,2026-09-07
256030,mmg_top_paid,2026-09-07
257850,mmg_top_paid,2026-09-07
259040,mmg_top_paid,2026-09-07
259041,mmg_top_paid,2026-09-07
259410,mmg_top_paid,2026-09-07
259640,mmg_top_paid,2026-09-07
259700,mmg_top_paid,2026-09-07
259720,mmg_top_paid,2026-09-07
260230,mmg_top_paid,2026-09-07
261030,mmg_top_paid,2026-09-07
261550,charts_top100,2026-09-07
262060,mmg_top_paid,2026-09-07
262750,mmg_top_paid,2026-09-07
263340,mmg_top_paid,2026-09-07
263920,mmg_top_paid,2026-09-07
264220,mmg_top_paid,2026-09-07
264540,mmg_top_paid,2026-09-07
264710,mmg_top_paid,2026-09-07
265930,mmg_top_paid,2026-09-07
266090,mmg_top_paid,2026-09-07
266230,mmg_top_paid,2026-09-07
266410,mmg_top_paid,2026-09-07
267610,mmg_top_paid,2026-09-07
268050,mmg_top_paid,2026-09-07
268670,mmg_top_paid,2026-09-07
269950,mmg_top_paid,2026-09-07
271570,mmg_top_paid,2026-09-07
271590,charts_top100,2026-09-07
273030,mmg_top_paid,2026-09-07
273770,mmg_top_paid,2026-09-07
274170,mmg_top_paid,2026-09-07
274190,mmg_top_paid,2026-09-07
274520,mmg_top_paid,2026-09-07
275850,mmg_top_paid,2026-09-07
277739,mmg_top_paid,2026-09-07
277910,mmg_top_paid,2026-09-07
278620,mmg_top_paid,2026-09-07
279540,mmg_top_paid,2026-09-07
280680,mmg_top_paid,2026-09-07
280830,mmg_top_paid,2026-09-07
281840,mmg_top_paid,2026-09-07
281990,mmg_top_paid,2026-09-07
282140,mmg_top_paid,2026-09-07
283660,mmg_top_paid,2026-09-07
284160,charts_top100,2026-09-07
285070,mmg_top_paid,2026-09-07
285190,mmg_top_paid,2026-09-07
285840,mmg_top_paid,2026-09-07
285900,mmg_top_paid,2026-09-07
285920,mmg_top_paid,2026-09-07
286160,mmg_top_paid,2026-09-07
287290,mmg_top_paid,2026-09-07
287390,mmg_top_paid,2026-09-07
287700,mmg_top_paid,2026-09-07
288020,mmg_top_paid,2026-09-07
288160,mmg_top_paid,2026-09-07
289070,charts_top100,2026-09-07
289650,mmg_top_paid,2026-09-07
290000,mmg_top_paid,2026-09-07
290490,mmg_top_paid,2026-09-07
291250,mmg_top_paid,2026-09-07
291370,mmg_top_paid,2026-09-07
291550,charts_top100,2026-09-07
291630,mmg_top_paid,2026-09-07
291770,mmg_top_paid,2026-09-07
291930,mmg_top_paid,2026-09-07
292000,mmg_top_paid,2026-09-07
292030,charts_top100,2026-09-07
292120,mmg_top_paid,2026-09-07
292570,mmg_top_paid,2026-09-07
292620,mmg_top_paid,2026-09-07
292730,mmg_top_paid,2026-09-07
292880,mmg_top_paid,2026-09-07
293480,mmg_top_paid,2026-09-07
293760,mmg_top_paid,2026-09-07
293880,mmg_top_paid,2026-09-07
293940,mmg_top_paid,2026-09-07
294100,charts_top100,2026-09-07
295670,mmg_top_paid,2026-09-07
295770,mmg_top_paid,2026-09-07
296550,mmg_top_paid,2026-09-07
297000,mmg_top_paid,2026-09-07
297720,mmg_top_paid,2026-09-07
298110,mmg_top_paid,2026-09-07
299600,mmg_top_paid,2026-09-07
300570,watchlist,2026-09-09
302010,mmg_top_paid,2026-09-07
302510,mmg_top_paid,2026-09-07
302670,mmg_top_paid,2026-09-07
303800,mmg_top_paid,2026-09-07
304240,mmg_top_paid,2026-09-07
304390,mmg_top_paid,2026-09-07
306130,mmg_top_paid,2026-09-07
306370,mmg_top_paid,2026-09-07
307010,mmg_top_paid,2026-09-07
307690,mmg_top_paid,2026-09-07
307780,mmg_top_paid,2026-09-07
311210,featured_specials,2026-09-07
311560,mmg_top_paid,2026-09-07
311690,mmg_top_paid,2026-09-07
312360,mmg_top_paid,2026-09-07
312520,mmg_top_paid,2026-09-07
313040,mmg_top_paid,2026-09-07
313120,mmg_top_paid,2026-09-07
313620,mmg_top_paid,2026-09-07
313690,mmg_top_paid,2026-09-07
313980,mmg_top_paid,2026-09-07
314240,mmg_top_paid,2026-09-07
314650,mmg_top_paid,2026-09-07
317530,mmg_top_paid,2026-09-07
317660,mmg_top_paid,2026-09-07
318690,mmg_top_paid,2026-09-07
319510,mmg_top_paid,2026-09-07
321150,mmg_top_paid,2026-09-07
322022,mmg_top_paid,2026-09-07
322170,charts_top100,2026-09-07
322330,charts_top100,2026-09-07
322500,mmg_top_paid,2026-09-07
323190,mmg_top_paid,2026-09-07
323490,mmg_top_paid,2026-09-07
324800,mmg_top_paid,2026-09-07
325060,mmg_top_paid,2026-09-07
325610,mmg_top_paid,2026-09-07
325990,mmg_top_paid,2026-09-07
327260,mmg_top_paid,2026-09-07
327310,mmg_top_paid,2026-09-07
327830,mmg_top_paid,2026-09-07
328220,mmg_top_paid,2026-09-07
329050,mmg_top_paid,2026-09-07
330020,mmg_top_paid,2026-09-07
330270,mmg_top_paid,2026-09-07
330770,mmg_top_paid,2026-09-07
331220,mmg_top_paid,2026-09-07
332800,mmg_top_paid,2026-09-07
333420,mmg_top_paid,2026-09-07
333640,mmg_top_paid,2026-09-08
335050,mmg_top_paid,2026-09-08
335830,mmg_top_paid,2026-09-08
337270,mmg_top_paid,2026-09-08
337320,mmg_top_paid,2026-09-08
337680,mmg_top_paid,2026-09-08
338120,mmg_top_paid,2026-09-08
339210,mmg_top_paid,2026-09-08
339340,mmg_top_paid,2026-09-08
340280,mmg_top_paid,2026-09-08
342560,mmg_top_paid,2026-09-08
345010,mmg_top_paid,2026-09-08
345060,mmg_top_paid,2026-09-08
346010,mmg_top_paid,2026-09-08
346110,mmg_top_paid,2026-09-08
348290,mmg_top_paid,2026-09-08
350080,mmg_top_paid,2026-09-08
350500,mmg_top_paid,2026-09-08
350600,mmg_top_paid,2026-09-08
352950,mmg_top_paid,2026-09-08
356180,mmg_top_paid,2026-09-08
356190,mmg_top_paid,2026-09-08
356570,mmg_top_paid,2026-09-08
356960,mmg_top_paid,2026-09-08
358770,mmg_top_paid,2026-09-08
359320,mmg_top_paid,2026-09-08
359550,charts_top100,2026-09-07
359870,mmg_top_paid,2026-09-08
359920,mmg_top_paid,2026-09-08
360550,mmg_top_paid,2026-09-08
